pmcid,sid,sent,text,span,tag
PMC6032655,171,The lack of sensitivity of US at defining small renal masses implicates that the diagnostic reliability of this imaging modality is not high enough to allow it to be used for diagnosing renal AMLs in daily practice [211]. ,,"(120, 120)",DS
PMC6032655,171,The lack of sensitivity of US at defining small renal masses implicates that the diagnostic reliability of this imaging modality is not high enough to allow it to be used for diagnosing renal AMLs in daily practice [211]. ,,"(206, 206)",DS
PMC6032655,171,The lack of sensitivity of US at defining small renal masses implicates that the diagnostic reliability of this imaging modality is not high enough to allow it to be used for diagnosing renal AMLs in daily practice [211]. ,,"(23, 23)",DS
PMC6032655,171,The lack of sensitivity of US at defining small renal masses implicates that the diagnostic reliability of this imaging modality is not high enough to allow it to be used for diagnosing renal AMLs in daily practice [211]. ,,"(41, 41)",DS
PMC6032655,171,The lack of sensitivity of US at defining small renal masses implicates that the diagnostic reliability of this imaging modality is not high enough to allow it to be used for diagnosing renal AMLs in daily practice [211]. ,,"(151, 151)",DS
PMC6032655,171,The lack of sensitivity of US at defining small renal masses implicates that the diagnostic reliability of this imaging modality is not high enough to allow it to be used for diagnosing renal AMLs in daily practice [211]. ,,"(60, 60)",DS
PMC6032655,171,The lack of sensitivity of US at defining small renal masses implicates that the diagnostic reliability of this imaging modality is not high enough to allow it to be used for diagnosing renal AMLs in daily practice [211]. ,,"(196, 196)",DS
PMC6032655,171,The lack of sensitivity of US at defining small renal masses implicates that the diagnostic reliability of this imaging modality is not high enough to allow it to be used for diagnosing renal AMLs in daily practice [211]. ,,"(3, 3)",DS
PMC6032655,171,The lack of sensitivity of US at defining small renal masses implicates that the diagnostic reliability of this imaging modality is not high enough to allow it to be used for diagnosing renal AMLs in daily practice [211]. ,,"(61, 61)",DS
PMC6032655,171,The lack of sensitivity of US at defining small renal masses implicates that the diagnostic reliability of this imaging modality is not high enough to allow it to be used for diagnosing renal AMLs in daily practice [211]. ,,"(131, 131)",DS
PMC6032655,171,The lack of sensitivity of US at defining small renal masses implicates that the diagnostic reliability of this imaging modality is not high enough to allow it to be used for diagnosing renal AMLs in daily practice [211]. ,,"(72, 72)",DS
PMC6032655,171,The lack of sensitivity of US at defining small renal masses implicates that the diagnostic reliability of this imaging modality is not high enough to allow it to be used for diagnosing renal AMLs in daily practice [211]. ,,"(200, 200)",DS
PMC6032655,171,The lack of sensitivity of US at defining small renal masses implicates that the diagnostic reliability of this imaging modality is not high enough to allow it to be used for diagnosing renal AMLs in daily practice [211]. ,,"(103, 103)",DS
PMC6032655,171,The lack of sensitivity of US at defining small renal masses implicates that the diagnostic reliability of this imaging modality is not high enough to allow it to be used for diagnosing renal AMLs in daily practice [211]. ,,"(129, 129)",DS
PMC6032655,171,The lack of sensitivity of US at defining small renal masses implicates that the diagnostic reliability of this imaging modality is not high enough to allow it to be used for diagnosing renal AMLs in daily practice [211]. ,,"(148, 148)",DS
PMC6032655,172,"Additional imaging studies may be needed to confirm the diagnosis, i.e. the presence of fat. ",,"(11, 11)",DS
PMC6032655,172,"Additional imaging studies may be needed to confirm the diagnosis, i.e. the presence of fat. ",,"(19, 19)",DS
PMC6032655,172,"Additional imaging studies may be needed to confirm the diagnosis, i.e. the presence of fat. ",,"(43, 43)",DS
PMC6032655,172,"Additional imaging studies may be needed to confirm the diagnosis, i.e. the presence of fat. ",,"(51, 51)",DS
PMC6032655,172,"Additional imaging studies may be needed to confirm the diagnosis, i.e. the presence of fat. ",,"(75, 75)",DS
PMC6032655,172,"Additional imaging studies may be needed to confirm the diagnosis, i.e. the presence of fat. ",,"(85, 85)",DS
PMC6032655,172,"Additional imaging studies may be needed to confirm the diagnosis, i.e. the presence of fat. ",,"(18, 18)",DS
PMC6032655,172,"Additional imaging studies may be needed to confirm the diagnosis, i.e. the presence of fat. ",,"(30, 30)",DS
PMC6032655,172,"Additional imaging studies may be needed to confirm the diagnosis, i.e. the presence of fat. ",,"(34, 34)",DS
PMC6032655,172,"Additional imaging studies may be needed to confirm the diagnosis, i.e. the presence of fat. ",,"(88, 88)",DS
PMC6032655,172,"Additional imaging studies may be needed to confirm the diagnosis, i.e. the presence of fat. ",,"(76, 76)",DS
PMC6032655,172,"Additional imaging studies may be needed to confirm the diagnosis, i.e. the presence of fat. ",,"(0, 0)",DS
PMC6032655,172,"Additional imaging studies may be needed to confirm the diagnosis, i.e. the presence of fat. ",,"(10, 10)",DS
PMC6032655,172,"Additional imaging studies may be needed to confirm the diagnosis, i.e. the presence of fat. ",,"(27, 27)",DS
PMC6032655,172,"Additional imaging studies may be needed to confirm the diagnosis, i.e. the presence of fat. ",,"(91, 91)",DS
PMC6032655,172,"Additional imaging studies may be needed to confirm the diagnosis, i.e. the presence of fat. ",,"(26, 26)",DS
PMC6032655,172,"Additional imaging studies may be needed to confirm the diagnosis, i.e. the presence of fat. ",,"(33, 33)",DS
PMC6032655,172,"Additional imaging studies may be needed to confirm the diagnosis, i.e. the presence of fat. ",,"(31, 31)",DS
PMC6032655,172,"Additional imaging studies may be needed to confirm the diagnosis, i.e. the presence of fat. ",,"(84, 84)",DS
PMC6032655,172,"Additional imaging studies may be needed to confirm the diagnosis, i.e. the presence of fat. ",,"(56, 56)",DS
PMC6032655,172,"Additional imaging studies may be needed to confirm the diagnosis, i.e. the presence of fat. ",,"(41, 41)",DS
PMC6032655,172,"Additional imaging studies may be needed to confirm the diagnosis, i.e. the presence of fat. ",,"(55, 55)",DS
PMC6032655,172,"Additional imaging studies may be needed to confirm the diagnosis, i.e. the presence of fat. ",,"(44, 44)",DS
PMC6032655,172,"Additional imaging studies may be needed to confirm the diagnosis, i.e. the presence of fat. ",,"(87, 87)",DS
PMC6032655,172,"Additional imaging studies may be needed to confirm the diagnosis, i.e. the presence of fat. ",,"(68, 68)",DS
PMC6032655,172,"Additional imaging studies may be needed to confirm the diagnosis, i.e. the presence of fat. ",,"(67, 67)",DS
PMC6032655,172,"Additional imaging studies may be needed to confirm the diagnosis, i.e. the presence of fat. ",,"(69, 69)",DS
PMC6032655,172,"Additional imaging studies may be needed to confirm the diagnosis, i.e. the presence of fat. ",,"(40, 40)",DS
PMC6032655,172,"Additional imaging studies may be needed to confirm the diagnosis, i.e. the presence of fat. ",,"(72, 72)",DS
PMC6032655,172,"Additional imaging studies may be needed to confirm the diagnosis, i.e. the presence of fat. ",,"(70, 70)",DS
PMC6032655,172,"Additional imaging studies may be needed to confirm the diagnosis, i.e. the presence of fat. ",,"(65, 65)",DS
PMC6032655,172,"Additional imaging studies may be needed to confirm the diagnosis, i.e. the presence of fat. ",,"(52, 52)",DS
PMC6032655,173,US image showing a fat-rich AML (arrow). ,,"(19, 19)",DS
PMC6032655,173,US image showing a fat-rich AML (arrow). ,,"(2, 2)",DS
PMC6032655,173,US image showing a fat-rich AML (arrow). ,,"(18, 18)",DS
PMC6032655,173,US image showing a fat-rich AML (arrow). ,,"(9, 9)",DS
PMC6032655,173,US image showing a fat-rich AML (arrow). ,,"(23, 23)",DS
PMC6032655,173,US image showing a fat-rich AML (arrow). ,,"(33, 33)",DS
PMC6032655,173,US image showing a fat-rich AML (arrow). ,,"(16, 16)",DS
PMC6032655,173,US image showing a fat-rich AML (arrow). ,,"(0, 0)",DS
PMC6032655,173,US image showing a fat-rich AML (arrow). ,,"(22, 22)",DS
PMC6032655,173,US image showing a fat-rich AML (arrow). ,,"(28, 28)",DS
PMC6032655,173,US image showing a fat-rich AML (arrow). ,,"(3, 3)",DS
PMC6032655,173,US image showing a fat-rich AML (arrow). ,,"(27, 27)",DS
PMC6032655,173,US image showing a fat-rich AML (arrow). ,,"(8, 8)",DS
PMC6032655,173,US image showing a fat-rich AML (arrow). ,,"(17, 17)",DS
PMC6032655,173,US image showing a fat-rich AML (arrow). ,,"(38, 38)",DS
PMC6032655,173,US image showing a fat-rich AML (arrow). ,,"(31, 31)",DS
PMC6032655,174,The tumour is more hyperechoic than the right renal sinus (asterisk) [10]. ,,"(11, 11)",DS
PMC6032655,174,The tumour is more hyperechoic than the right renal sinus (asterisk) [10]. ,,"(13, 13)",DS
PMC6032655,174,The tumour is more hyperechoic than the right renal sinus (asterisk) [10]. ,,"(19, 19)",DS
PMC6032655,174,The tumour is more hyperechoic than the right renal sinus (asterisk) [10]. ,,"(51, 51)",DS
PMC6032655,174,The tumour is more hyperechoic than the right renal sinus (asterisk) [10]. ,,"(45, 45)",DS
PMC6032655,174,The tumour is more hyperechoic than the right renal sinus (asterisk) [10]. ,,"(18, 18)",DS
PMC6032655,174,The tumour is more hyperechoic than the right renal sinus (asterisk) [10]. ,,"(30, 30)",DS
PMC6032655,174,The tumour is more hyperechoic than the right renal sinus (asterisk) [10]. ,,"(46, 46)",DS
PMC6032655,174,The tumour is more hyperechoic than the right renal sinus (asterisk) [10]. ,,"(14, 14)",DS
PMC6032655,174,The tumour is more hyperechoic than the right renal sinus (asterisk) [10]. ,,"(0, 0)",DS
PMC6032655,174,The tumour is more hyperechoic than the right renal sinus (asterisk) [10]. ,,"(10, 10)",DS
PMC6032655,174,The tumour is more hyperechoic than the right renal sinus (asterisk) [10]. ,,"(36, 36)",DS
PMC6032655,174,The tumour is more hyperechoic than the right renal sinus (asterisk) [10]. ,,"(4, 4)",DS
PMC6032655,174,The tumour is more hyperechoic than the right renal sinus (asterisk) [10]. ,,"(35, 35)",DS
PMC6032655,174,The tumour is more hyperechoic than the right renal sinus (asterisk) [10]. ,,"(3, 3)",DS
PMC6032655,174,The tumour is more hyperechoic than the right renal sinus (asterisk) [10]. ,,"(59, 59)",DS
PMC6032655,174,The tumour is more hyperechoic than the right renal sinus (asterisk) [10]. ,,"(40, 40)",DS
PMC6032655,174,The tumour is more hyperechoic than the right renal sinus (asterisk) [10]. ,,"(67, 67)",DS
PMC6032655,174,The tumour is more hyperechoic than the right renal sinus (asterisk) [10]. ,,"(72, 72)",DS
PMC6032655,174,The tumour is more hyperechoic than the right renal sinus (asterisk) [10]. ,,"(57, 57)",DS
PMC6032655,174,The tumour is more hyperechoic than the right renal sinus (asterisk) [10]. ,,"(39, 39)",DS
PMC6032655,174,The tumour is more hyperechoic than the right renal sinus (asterisk) [10]. ,,"(70, 70)",DS
PMC6032655,174,The tumour is more hyperechoic than the right renal sinus (asterisk) [10]. ,,"(31, 31)",DS
PMC6032655,174,The tumour is more hyperechoic than the right renal sinus (asterisk) [10]. ,,"(52, 52)",DS
PMC6032655,175,Computed Tomography ,,"(8, 8)",DS
PMC6032655,175,Computed Tomography ,,"(9, 9)",DS
PMC6032655,175,Computed Tomography ,,"(19, 19)",DS
PMC6032655,175,Computed Tomography ,,"(0, 0)",DS
PMC6032655,176,The imaged-based detection of fat generally starts with CT. ,,"(11, 11)",DS
PMC6032655,176,The imaged-based detection of fat generally starts with CT. ,,"(43, 43)",DS
PMC6032655,176,The imaged-based detection of fat generally starts with CT. ,,"(51, 51)",DS
PMC6032655,176,The imaged-based detection of fat generally starts with CT. ,,"(56, 56)",DS
PMC6032655,176,The imaged-based detection of fat generally starts with CT. ,,"(30, 30)",DS
PMC6032655,176,The imaged-based detection of fat generally starts with CT. ,,"(34, 34)",DS
PMC6032655,176,The imaged-based detection of fat generally starts with CT. ,,"(50, 50)",DS
PMC6032655,176,The imaged-based detection of fat generally starts with CT. ,,"(55, 55)",DS
PMC6032655,176,The imaged-based detection of fat generally starts with CT. ,,"(0, 0)",DS
PMC6032655,176,The imaged-based detection of fat generally starts with CT. ,,"(16, 16)",DS
PMC6032655,176,The imaged-based detection of fat generally starts with CT. ,,"(10, 10)",DS
PMC6032655,176,The imaged-based detection of fat generally starts with CT. ,,"(4, 4)",DS
PMC6032655,176,The imaged-based detection of fat generally starts with CT. ,,"(27, 27)",DS
PMC6032655,176,The imaged-based detection of fat generally starts with CT. ,,"(29, 29)",DS
PMC6032655,176,The imaged-based detection of fat generally starts with CT. ,,"(3, 3)",DS
PMC6032655,176,The imaged-based detection of fat generally starts with CT. ,,"(17, 17)",DS
PMC6032655,176,The imaged-based detection of fat generally starts with CT. ,,"(58, 58)",DS
PMC6032655,176,The imaged-based detection of fat generally starts with CT. ,,"(26, 26)",DS
PMC6032655,176,The imaged-based detection of fat generally starts with CT. ,,"(33, 33)",DS
PMC6032655,176,The imaged-based detection of fat generally starts with CT. ,,"(44, 44)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(13, 13)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(45, 45)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(85, 85)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(107, 107)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(117, 117)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(30, 30)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(46, 46)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(82, 82)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(110, 110)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(0, 0)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(10, 10)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(54, 54)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(70, 70)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(29, 29)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(37, 37)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(71, 71)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(58, 58)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(38, 38)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(33, 33)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(81, 81)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(95, 95)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(97, 97)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(111, 111)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(2, 2)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(14, 14)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(41, 41)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(50, 50)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(55, 55)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(62, 62)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(105, 105)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(32, 32)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(5, 5)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(3, 3)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(8, 8)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(40, 40)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(59, 59)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(61, 61)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(116, 116)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(125, 125)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(6, 6)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(49, 49)",DS
PMC6032655,177,"As on US, the characteristics of AMLs on UECT may vary due to variable quantities of angiogenic, myogenic, and fatty elements. ",,"(84, 84)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(13, 13)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(21, 21)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(45, 45)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(51, 51)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(77, 77)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(85, 85)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(82, 82)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(88, 88)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(110, 110)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(76, 76)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(63, 63)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(65, 65)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(12, 12)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(0, 0)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(112, 112)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(54, 54)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(92, 92)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(93, 93)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(57, 57)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(31, 31)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(47, 47)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(81, 81)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(84, 84)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(95, 95)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(15, 15)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(62, 62)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(66, 66)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(55, 55)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(87, 87)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(44, 44)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(114, 114)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(16, 16)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(32, 32)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(52, 52)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(96, 96)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(4, 4)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(68, 68)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(3, 3)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(67, 67)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(104, 104)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(103, 103)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(58, 58)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(49, 49)",DS
PMC6032655,178,The presence of ROIs containing attenuations of –10 HU or less is a reliable sign of an area of adipose tissue [34]. ,,"(20, 20)",DS
PMC6032655,179,"Therefore, detecting fat is feasible in most fat-rich AMLs (Figure 2). ",,"(21, 21)",DS
PMC6032655,179,"Therefore, detecting fat is feasible in most fat-rich AMLs (Figure 2). ",,"(11, 11)",DS
PMC6032655,179,"Therefore, detecting fat is feasible in most fat-rich AMLs (Figure 2). ",,"(24, 24)",DS
PMC6032655,179,"Therefore, detecting fat is feasible in most fat-rich AMLs (Figure 2). ",,"(45, 45)",DS
PMC6032655,179,"Therefore, detecting fat is feasible in most fat-rich AMLs (Figure 2). ",,"(53, 53)",DS
PMC6032655,179,"Therefore, detecting fat is feasible in most fat-rich AMLs (Figure 2). ",,"(66, 66)",DS
PMC6032655,179,"Therefore, detecting fat is feasible in most fat-rich AMLs (Figure 2). ",,"(9, 9)",DS
PMC6032655,179,"Therefore, detecting fat is feasible in most fat-rich AMLs (Figure 2). ",,"(44, 44)",DS
PMC6032655,179,"Therefore, detecting fat is feasible in most fat-rich AMLs (Figure 2). ",,"(48, 48)",DS
PMC6032655,179,"Therefore, detecting fat is feasible in most fat-rich AMLs (Figure 2). ",,"(0, 0)",DS
PMC6032655,179,"Therefore, detecting fat is feasible in most fat-rich AMLs (Figure 2). ",,"(54, 54)",DS
PMC6032655,179,"Therefore, detecting fat is feasible in most fat-rich AMLs (Figure 2). ",,"(36, 36)",DS
PMC6032655,179,"Therefore, detecting fat is feasible in most fat-rich AMLs (Figure 2). ",,"(28, 28)",DS
PMC6032655,179,"Therefore, detecting fat is feasible in most fat-rich AMLs (Figure 2). ",,"(60, 60)",DS
PMC6032655,179,"Therefore, detecting fat is feasible in most fat-rich AMLs (Figure 2). ",,"(68, 68)",DS
PMC6032655,179,"Therefore, detecting fat is feasible in most fat-rich AMLs (Figure 2). ",,"(27, 27)",DS
PMC6032655,179,"Therefore, detecting fat is feasible in most fat-rich AMLs (Figure 2). ",,"(37, 37)",DS
PMC6032655,179,"Therefore, detecting fat is feasible in most fat-rich AMLs (Figure 2). ",,"(67, 67)",DS
PMC6032655,179,"Therefore, detecting fat is feasible in most fat-rich AMLs (Figure 2). ",,"(40, 40)",DS
PMC6032655,179,"Therefore, detecting fat is feasible in most fat-rich AMLs (Figure 2). ",,"(25, 25)",DS
PMC6032655,179,"Therefore, detecting fat is feasible in most fat-rich AMLs (Figure 2). ",,"(39, 39)",DS
PMC6032655,179,"Therefore, detecting fat is feasible in most fat-rich AMLs (Figure 2). ",,"(58, 58)",DS
PMC6032655,179,"Therefore, detecting fat is feasible in most fat-rich AMLs (Figure 2). ",,"(49, 49)",DS
PMC6032655,179,"Therefore, detecting fat is feasible in most fat-rich AMLs (Figure 2). ",,"(20, 20)",DS
PMC6032655,180,"However, some fat-rich AMLs contain very small areas of fat, which may not be recognized at CT. ",,"(13, 13)",DS
PMC6032655,180,"However, some fat-rich AMLs contain very small areas of fat, which may not be recognized at CT. ",,"(53, 53)",DS
PMC6032655,180,"However, some fat-rich AMLs contain very small areas of fat, which may not be recognized at CT. ",,"(75, 75)",DS
PMC6032655,180,"However, some fat-rich AMLs contain very small areas of fat, which may not be recognized at CT. ",,"(77, 77)",DS
PMC6032655,180,"However, some fat-rich AMLs contain very small areas of fat, which may not be recognized at CT. ",,"(88, 88)",DS
PMC6032655,180,"However, some fat-rich AMLs contain very small areas of fat, which may not be recognized at CT. ",,"(18, 18)",DS
PMC6032655,180,"However, some fat-rich AMLs contain very small areas of fat, which may not be recognized at CT. ",,"(46, 46)",DS
PMC6032655,180,"However, some fat-rich AMLs contain very small areas of fat, which may not be recognized at CT. ",,"(94, 94)",DS
PMC6032655,180,"However, some fat-rich AMLs contain very small areas of fat, which may not be recognized at CT. ",,"(0, 0)",DS
PMC6032655,180,"However, some fat-rich AMLs contain very small areas of fat, which may not be recognized at CT. ",,"(22, 22)",DS
